Rank,,Combined 20-24
392,"Law Library Journal",3.34
393,"Modern Law Review",3.33
394,"University of Hawaii Law Review",3.33
395,"Columbia Journal of Environmental Law",3.31
396,"European Journal of Risk Regulation",3.30
397,"Wayne Law Review",3.28
398,"Human Rights Law Review",3.27
399,"Minnesota Journal of International Law",3.25
400,"University of Florida Journal of Law and Public Policy",3.23
NR,"AALL Spectrum",NR
NR,"ABA Journal",NR
NR,"Aberdeen Student Law Review",NR
NR,"Accounting, Economics, and Law: A Convivium [online]",NR
NR,"ACS Supreme Court Review [online]",NR
NR,"Acta Juridica",NR
NR,"Acta Juridica Hungarica",NR
NR,"Adelaide Law Review",NR
NR,"Advance: The Journal of the ACS Issue Groups",NR
NR,"Advocates' Quarterly",NR
NR,"African Human Rights Law Journal",NR
NR,"African Journal of International and Comparative Law",NR
NR,"African Journal of Legal Studies",NR
NR,"African Yearbook of International Law",NR
NR,"Agora International Journal of Juridical Sciences",NR
NR,"AICELS Law Review: Journal on Central European Law",NR
NR,"AILA Law Journal",NR
NR,"AIPLA Quarterly Journal",NR
NR,"Air & Space Law",NR
NR,"Air Force Law Review",NR
NR,"Akron Intellectual Property Journal",NR
NR,"Akron Law Review",NR
NR,"Alabama Civil Rights & Civil Liberties Law Review",NR
NR,"Alaska Justice Forum [online]",NR
NR,"Alaska Law Review",NR
NR,"Albany Government Law Review",NR
NR,"Alberta Law Review",NR
NR,"ALI-CLE Estate Planning Course Materials Journal",NR
NR,"Alternative Law Journal",NR
NR,"American Bankruptcy Institute Law Review",NR
NR,"American Indian Law Review",NR
NR,"American Journal of Criminal Justice",NR
NR,"American Journal of Criminal Law",NR
NR,"American Journal of Family Law",NR
NR,"American Journal of Jurisprudence",NR
NR,"American Journal of Law and Equality [online]",NR
NR,"American Journal of Legal History",NR
NR,"American Journal of Mediation",NR
NR,"American Journal of Trial Advocacy",NR
NR,"American Law and Economics Review",NR
NR,"American Review of International Arbitration",NR
NR,"American University Criminal Law Brief",NR
NR,"American University Intellectual Property Brief",NR
NR,"American University Labor & Employment Law Forum [online]",NR
NR,"Amsterdam Law Forum [online]",NR
NR,"Animal Law",NR
NR,"Annals of Air and Space Law",NR
NR,"Annual Review of Criminal Procedure",NR
NR,"Annual Survey of International and Comparative Law",NR
NR,"Antitrust",NR
NR,"Antitrust Bulletin",NR
NR,"Antitrust Source [online]",NR
NR,"Appalachian Journal of Law",NR
NR,"Appeal: Review of Current Law and Law Reform",NR
NR,"Arab Law Quarterly",NR
NR,"Arbitration International",NR
NR,"Arbitration: The International Journal of Arbitration, Mediation and Dispute Management",NR
NR,"Arctic Review on Law and Politics",NR
NR,"Arizona Journal of Environmental Law & Policy",NR
NR,"Arizona Journal of International and Comparative Law",NR
NR,"Arizona Summit Law Review",NR
NR,"Army Lawyer",NR
NR,"Art, Antiquity and Law",NR
NR,"Artificial Intelligence and Law",NR
NR,"Asia Pacific Journal of Environmental Law",NR
NR,"Asia Pacific Law Review",NR
NR,"Asian American Law Journal",NR
NR,"Asian Business Lawyer",NR
NR,"Asian International Arbitration Journal",NR
NR,"Asian Journal of Comparative Law",NR
NR,"Asian Journal of Criminology",NR
NR,"Asian Journal of International Law",NR
NR,"Asian Journal of Law and Economics [online]",NR
NR,"Asian Journal of Law and Society",NR
NR,"Asian Journal of WTO & International Health Law and Policy",NR
NR,"Asian Yearbook of International Law",NR
NR,"Asian-Pacific Law & Policy Journal [online]",NR
NR,"Asia-Pacific Journal on Human Rights and the Law",NR
NR,"Asper Review of International Business and Trade Law",NR
NR,"ATA Journal of Legal Tax Research",NR
NR,"Ateneo Law Journal",NR
NR,"Atlantic Law Journal",NR
NR,"Auckland University Law Review",NR
NR,"Australasian Dispute Resolution Journal",NR
NR,"Australasian Journal of Natural Resources Law and Policy",NR
NR,"Australia & New Zealand Law & History E-Journal [online]",NR
NR,"Australian and New Zealand Journal of Criminology",NR
NR,"Australian and New Zealand Maritime Law Journal [online]",NR
NR,"Australian Bar Review",NR
NR,"Australian Business Law Review",NR
NR,"Australian Feminist Law Journal",NR
NR,"Australian Intellectual Property Journal",NR
NR,"Australian International Law Journal",NR
NR,"Australian Journal of Administrative Law",NR
NR,"Australian Journal of Asian Law",NR
NR,"Australian Journal of Corporate Law",NR
NR,"Australian Journal of Family Law",NR
NR,"Australian Journal of Gender and Law [online]",NR
NR,"Australian Journal of Human Rights",NR
NR,"Australian Journal of Labour Law",NR
NR,"Australian Journal of Legal Philosophy",NR
NR,"Australian Law Journal",NR
NR,"Australian Property Law Journal",NR
NR,"Australian Tax Review",NR
NR,"Australian Year Book of International Law",NR
NR,"Austrian Review of International and European Law",NR
NR,"Ave Maria Law Review",NR
NR,"Baltic Journal of Law & Politics [online]",NR
NR,"Bangladesh Journal of Law",NR
NR,"Banking & Finance Law Review",NR
NR,"Banking Law Journal",NR
NR,"Bar Examiner",NR
NR,"Barry Law Review",NR
NR,"Behavioral Sciences & the Law",NR
NR,"Beijing Law Review",NR
NR,"Benefits Law Journal",NR
NR,"Berkeley Journal of African-American Law & Policy",NR
NR,"Berkeley Journal of Entertainment & Sports Law [online]",NR
NR,"Berkeley Journal of Gender, Law & Justice",NR
NR,"Berkeley Journal of International Law",NR
NR,"Berkeley Journal of Middle Eastern & Islamic Law",NR
NR,"Berkeley Latine Journal of Law & Policy",NR
NR,"Bio-Science Law Review",NR
NR,"Biotechnology Law Report",NR
NR,"Bond Law Review",NR
NR,"Boston College Environmental Affairs Law Review",NR
NR,"Boston College International and Comparative Law Review",NR
NR,"Boston College Journal of Law and Social Justice",NR
NR,"Boston University International Law Journal",NR
NR,"Bracton Law Journal",NR
NR,"Brandeis University Law Journal",NR
NR,"Brigham Young University Education and Law Journal",NR
NR,"Brigham Young University International Law & Management Review",NR
NR,"Brigham Young University Journal of Public Law",NR
NR,"British Journal of American Legal Studies",NR
NR,"British Journal of Criminology",NR
NR,"British Tax Review",NR
NR,"British Year Book of International Law",NR
NR,"Brooklyn Journal of International Law",NR
NR,"Buffalo Environmental Law Journal",NR
NR,"Buffalo Human Rights Law Review",NR
NR,"Buffalo Intellectual Property Law Journal",NR
NR,"Buffalo Law Review The Docket [online]",NR
NR,"Buffalo Public Interest Law Journal: In the Public Interest",NR
NR,"Building and Construction Law Journal",NR
NR,"Bulletin of Comparative Labour Relations",NR
NR,"Business & Finance Law Review [online]",NR
NR,"Business and Human Rights Journal",NR
NR,"Business Law International",NR
NR,"Business Law Review",NR
NR,"Business Law Today [online]",NR
NR,"Business, Entrepreneurship & Tax Law Review [online]",NR
NR,"Cahiers de Droit",NR
NR,"California Legal History",NR
NR,"California Western International Law Journal",NR
NR,"California Western Law Review",NR
NR,"Cambrian Law Review",NR
NR,"Cambridge International Law Journal",NR
NR,"Cambridge Law Journal",NR
NR,"Canada-United States Law Journal",NR
NR,"Canadian Bar Review",NR
NR,"Canadian Business Law Journal",NR
NR,"Canadian Family Law Quarterly",NR
NR,"Canadian Journal of Administrative Law and Practice",NR
NR,"Canadian Journal of Criminology and Criminal Justice",NR
NR,"Canadian Journal of Family Law",NR
NR,"Canadian Journal of Human Rights",NR
NR,"Canadian Journal of Insurance Law",NR
NR,"Canadian Journal of Law and Jurisprudence",NR
NR,"Canadian Journal of Law and Society",NR
NR,"Canadian Journal of Law and Technology",NR
NR,"Canadian Journal of Women and the Law",NR
NR,"Canadian Labour & Employment Law Journal",NR
NR,"Canadian Law Library Review",NR
NR,"Canadian Tax Journal",NR
NR,"Canadian Yearbook of International Law",NR
NR,"Canberra Law Review [online]",NR
NR,"Canterbury Law Review",NR
NR,"Capital Markets Law Journal",NR
NR,"Carbon & Climate Law Review",NR
NR,"Cardozo Journal of Equal Rights and Social Justice",NR
NR,"Catholic University Journal of Law and Technology",NR
NR,"Charity Law & Practice Review",NR
NR,"Charleston Law Review",NR
NR,"Chicago-Kent Journal of Environmental and Energy Law [online]",NR
NR,"Chicago-Kent Journal of International and Comparative Law [online]",NR
NR,"Chicana/o Latina/o Law Review",NR
NR,"Child & Family Law Quarterly",NR
NR,"Child Welfare",NR
NR,"Children's Legal Rights Journal",NR
NR,"Chinese (Taiwan) Yearbook of International Law and Affairs",NR
NR,"Chinese Journal of International Law",NR
NR,"City University of Hong Kong Law Review",NR
NR,"Civil Justice Quarterly",NR
NR,"Clearinghouse Review",NR
NR,"Climate Law",NR
NR,"Colorado Environmental Law Journal",NR
NR,"Columbia Journal of Asian Law",NR
NR,"Columbia Journal of European Law",NR
NR,"Common Law World Review",NR
NR,"Common Market Law Review",NR
NR,"Commonwealth Judicial Journal",NR
NR,"Commonwealth Law Bulletin",NR
NR,"Communications Lawyer",NR
NR,"Company and Securities Law Journal",NR
NR,"Company Lawyer",NR
NR,"Comparative and International Law Journal of Southern Africa",NR
NR,"Comparative Labor Law & Policy Journal",NR
NR,"Competition & Consumer Law Journal",NR
NR,"Competition and Regulation in Network Industries",NR
NR,"Computer and Telecommunications Law Review",NR
NR,"Computer Law and Security Review",NR
NR,"Conflict Resolution Quarterly",NR
NR,"ConLawNOW [online]",NR
NR,"Connecticut Journal of International Law",NR
NR,"Connecticut Law Review Online [online]",NR
NR,"Constitutional Forum",NR
NR,"Constitutional Political Economy",NR
NR,"Construction Law Journal",NR
NR,"Construction Lawyer",NR
NR,"Consumer Finance Law Quarterly Report",NR
NR,"Contemporary Asia Arbitration Journal",NR
NR,"Contemporary Justice Review",NR
NR,"Conveyancer and Property Lawyer",NR
NR,"Conveyancing and Property Law Journal",NR
NR,"Cork Online Law Review [online]",NR
NR,"Corporate and Business Law Journal [online]",NR
NR,"Corporate Governance Advisor",NR
NR,"Corporate Governance eJournal [online]",NR
NR,"Corporate Taxation",NR
NR,"Court Review: The Journal of the American Judges Association",NR
NR,"Coventry Law Journal",NR
NR,"Crime & Delinquency",NR
NR,"Crime, Law and Social Change",NR
NR,"Crime, Media, Culture",NR
NR,"Criminal Justice",NR
NR,"Criminal Justice and Behavior",NR
NR,"Criminal Justice Ethics",NR
NR,"Criminal Justice Policy Review",NR
NR,"Criminal Justice Review",NR
NR,"Criminal Justice Studies: A Critical Journal of Crime, Law and Society",NR
NR,"Criminal Law and Philosophy",NR
NR,"Criminal Law Bulletin",NR
NR,"Criminal Law Forum",NR
NR,"Criminal Law Quarterly",NR
NR,"Criminal Law Review",NR
NR,"Criminology",NR
NR,"Criminology & Criminal Justice",NR
NR,"Criminology & Public Policy",NR
NR,"Criminology, Criminal Justice, Law & Society [online]",NR
NR,"Critical Criminology",NR
NR,"Croatian Yearbook of European Law & Policy",NR
